Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
"Statement - Publicgrpscount = driver.findElements(org.openqa.selenium.By.xpath(""//li[contains(@bo-repeat,'group in publicGroupsArray')]"")).size()",Chrome 69.0.3497.100,,2018-09-26 00:41:54,2018-09-26 00:41:54,0.015s,PASSED
"Statement - println(""Public Groups count is: "" + Publicgrpscount)",Chrome 69.0.3497.100,,2018-09-26 00:41:54,2018-09-26 00:41:54,0.000s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-09-26 00:41:54,2018-09-26 00:41:55,0.680s,PASSED
,,,,,,
Test Cases/Product Notification get call,Chrome 69.0.3497.100,,2018-09-26 00:41:55,2018-09-26 00:42:32,37.073s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-09-26 00:41:55,2018-09-26 00:41:57,2.027s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-26 00:41:57,2018-09-26 00:42:06,9.631s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-09-26 00:42:06,2018-09-26 00:42:07,1.131s,PASSED
"Statement - text = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getUrl().substring(0, 5)",Chrome 69.0.3497.100,,2018-09-26 00:42:07,2018-09-26 00:42:07,0.008s,PASSED
"Statement - assert text == ""https""",Chrome 69.0.3497.100,,2018-09-26 00:42:07,2018-09-26 00:42:07,0.000s,PASSED
sendKeys,Chrome 69.0.3497.100,,2018-09-26 00:42:07,2018-09-26 00:42:08,0.138s,PASSED
sendKeys,Chrome 69.0.3497.100,,2018-09-26 00:42:08,2018-09-26 00:42:08,0.075s,PASSED
click,Chrome 69.0.3497.100,,2018-09-26 00:42:08,2018-09-26 00:42:11,3.132s,PASSED
delay,Chrome 69.0.3497.100,,2018-09-26 00:42:11,2018-09-26 00:42:31,20.003s,PASSED
waitForElementVisible,Chrome 69.0.3497.100,,2018-09-26 00:42:31,2018-09-26 00:42:31,0.052s,PASSED
click,Chrome 69.0.3497.100,,2018-09-26 00:42:31,2018-09-26 00:42:31,0.103s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-09-26 00:42:31,2018-09-26 00:42:32,0.666s,PASSED
